grosssize,grosssizeadjusted,groundfloorsize,livingsize,baths_full,bed,rooms_total,prkgSize,assdImprValue,assdTtlValue,mktTtlValue,taxAmt,baths_total_calculated,saleAmt,property_type,propsubtype,proptype,heatingtype,coolingtype,wallType,saleRecDate,condition,constructiontype,frameType,prkgType,bldgType,saleAmtCategory
0.005869758,0.006201644,0.006439128,0.006201644,0.003861004,0.005802708,0.006217617,0.006608627,0.007862872,0.003559524,0.00739287,0.003766874,0.005791506,0.002753011,0,0,0,0.055104278,0,0.205161964,0.012343617,0.135516671,0.029006217,0.117893133,0.442126971,0,Economical Price
0.006343747,0.006685203,0.006904047,0.006685203,0.001930502,0.003868472,0.007253886,0.006608627,0.007697236,0.003484441,0.007237918,0.003687373,0.005791506,0.002896896,0,0,0,0.055104278,0,0,0.012395181,0,0.029006217,0.117893133,0.442126971,0,Economical Price
0.002816381,0.006177466,0.006415882,0.006177466,0.003861004,0.001934236,0.004145078,0.001859913,0.005340127,0.002415959,0.005032735,0.002632384,0.003861004,0.003784191,0,0,0,0.055104278,0.001111651,0,0.021105924,0,0.029006217,0.117893133,0,0,Budget-Friendly Price
0.002218383,0.004865812,0.005154789,0.004865812,0.001930502,0,0.003108808,0.001859913,0.003791896,0.001714142,0.003584383,0.00188929,0.001930502,0.002470036,0,0,0,0.055104278,0.001111651,0,0.015580316,0,0.029006217,0.117893133,0,0,Economical Price
0.005299316,0.005367505,0.005637142,0.005367505,0.003861004,0.005802708,0.007253886,0.003996834,0.007500088,0.003395073,0.007053512,0.003592746,0.003861004,0.005549187,0,0,0,0.055104278,0.001111651,0.205161964,0.016111078,0.135516671,0.051450964,0.121542658,0.442126971,0,Standard Price
0.002177046,0.004775145,0.005067617,0.004775145,0.001930502,0.001934236,0.003108808,0.008101351,0.00451057,0.002039919,0.004256695,0.002157883,0.003861004,0.001587538,0,0,0,0.104258282,0,0,0.01129637,0,0.029006217,0.117893133,0.82536183,0,Economical Price
0.002177046,0.004775145,0.005067617,0.004775145,0.001930502,0.001934236,0.004145078,0.008101351,0.004865082,0.00220062,0.004588369,0.002404386,0.003861004,0.003189464,0,0,0,0.104258282,0,0,0.012775873,0,0.029006217,0.117893133,0.82536183,0,Budget-Friendly Price
0.002199092,0.004823501,0.005114109,0.004823501,0.001930502,0.001934236,0.003108808,0.008101351,0.004511949,0.002040544,0.004257975,0.0022349,0.003861004,0.001386098,0,0,0,0.104258282,0,0,0.01098985,0,0.029006217,0.117893133,0.82536183,0,Economical Price
0.003367532,0.007386364,0.006555357,0.007386364,0.003861004,0.003868472,0.005181347,0.006608627,0.007066205,0.003198393,0.006647564,0.003384496,0.003861004,0.005741035,0,0,0,0.055104278,0.001111651,0.205161964,0.020967407,0.135516671,0.029006217,0.117893133,0.442126971,0,Standard Price
0.002177046,0.004775145,0.005067617,0.004775145,0.001930502,0.001934236,0.003108808,0.008101351,0.004521599,0.002044918,0.00426694,0.002163176,0.003861004,0.001577945,0,0,0,0.104258282,0,0.205161964,0.012360606,0,0.029006217,0.117893133,0.82536183,0,Economical Price
0.002177046,0.004775145,0.005067617,0.004775145,0.001930502,0.001934236,0.004145078,0.008101351,0.00451057,0.002039919,0.004256695,0.002157883,0.003861004,0.002920877,0,0,0,0.104258282,0,0,0.012596732,0,0.029006217,0.117893133,0.82536183,0,Economical Price
0.002380972,0.005222437,0.005497667,0.005222437,0.003861004,0.001934236,0.003108808,0.003047091,0.00508547,0.002300522,0.004794544,0.00251017,0.003861004,0.003851337,0,0,0,0.055104278,0.001111651,0.205161964,0.020506803,0,0.029006217,0.117893133,0.442126971,0,Budget-Friendly Price
0.002380972,0.005222437,0.005497667,0.005222437,0.003861004,0.001934236,0.003108808,0.003047091,0.00508547,0.002300522,0.004794544,0.002433825,0.003861004,0.004004815,0,0,0,0.055104278,0.001111651,0.205161964,0.015669837,0,0.029006217,0.117893133,0.442126971,0,Budget-Friendly Price
0.002361682,0.005180126,0.005456986,0.005180126,0.003861004,0.001934236,0.004145078,0.003047091,0.005064987,0.002291237,0.004775336,0.002423992,0.003861004,0.003808172,0,0,0,0.055104278,0.001111651,0.205161964,0.013388631,0,0.029006217,0.117893133,0.442126971,0,Budget-Friendly Price
0.002361682,0.005180126,0.005456986,0.005180126,0.003861004,0.001934236,0.003108808,0.003047091,0.005140222,0.002325341,0.004845768,0.002536433,0.003861004,0.002297373,0,0,0,0.055104278,0.001111651,0.205161964,0.014475832,0,0.029006217,0.117893133,0.442126971,0,Economical Price
0.002380972,0.005222437,0.005497667,0.005222437,0.003861004,0.001934236,0.003108808,0.003047091,0.005995777,0.002713166,0.00564614,0.002870724,0.003861004,0.002167876,0,0,0,0.055104278,0.001111651,0.205161964,0.01176411,0,0.029006217,0.117893133,0.442126971,0,Economical Price
0.002380972,0.005222437,0.005497667,0.005222437,0.003861004,0.001934236,0.003108808,0.003047091,0.005309994,0.002402299,0.005004562,0.002617929,0.003861004,0.003318961,0,0,0,0.055104278,0.001111651,0.205161964,0.013901289,0,0.029006217,0.117893133,0.442126971,0,Budget-Friendly Price
0.002361682,0.005180126,0.005456986,0.005180126,0.003861004,0.001934236,0.003108808,0.003047091,0.005140222,0.002325341,0.004845768,0.002536433,0.003861004,0.003026393,0,0,0,0.055104278,0.001111651,0.205161964,0.012614371,0,0.029006217,0.117893133,0.442126971,0,Economical Price
0.008994783,0.008389749,0.008542886,0.008389749,0.001930502,0.005802708,0.009326425,0.007004353,0.002019338,0.00430223,0.008925741,0.004629616,0.005791506,0.009587576,0.042015133,0,0.04276895,0.055104278,0,0.205161964,0.017622231,0,0.051450964,0.121542658,0.82536183,0.086620281,Premium Price
