grosssize,grosssizeadjusted,groundfloorsize,livingsize,baths_full,bed,rooms_total,prkgSize,assdImprValue,assdTtlValue,mktTtlValue,taxAmt,baths_total_calculated,property_type,propsubtype,proptype,heatingtype,coolingtype,wallType,saleRecDate,condition,constructiontype,frameType,prkgType,bldgType,saleAmt
3708.0,2988.0,2988.0,2988.0,1.0,4.0,9.0,986.0,53348.0,90753.0,1305800.0,8897.12,3.0,SINGLE FAMILY RESIDENCE,RESIDENTIAL,SFR,FORCED AIR,CENTRAL,STONE,2020-07-16,GOOD,MASONRY,MASONRY,"Garage, Basement",CONVENTIONAL HOUSE,1650000.0
3974.0,2758.0,1767.0,2758.0,1.0,3.0,8.0,986.0,37356.0,74080.0,1065900.0,7268.62,4.0,SINGLE FAMILY RESIDENCE,RESIDENTIAL,SFR,HOT WATER,None,BRICK VENEER,2019-03-18,AVERAGE,MASONRY,MASONRY,"Garage, Attached",CONVENTIONAL HOUSE,1133000.0
4867.0,3318.0,2460.0,3318.0,1.0,4.0,8.0,984.0,86347.0,120833.0,1738600.0,11835.12,5.0,SINGLE FAMILY RESIDENCE,RESIDENTIAL,SFR,FORCED AIR,CENTRAL,MARBLECRETE,2017-08-18,VERY GOOD,FRAME,WOOD,"Garage, Detached",CONVENTIONAL HOUSE,1100000.0
1274.0,1274.0,1274.0,1274.0,1.0,3.0,6.0,368.0,18053.0,38250.0,550350.0,3769.0,2.0,SINGLE FAMILY RESIDENCE,RESIDENTIAL,SFR,FORCED AIR,None,BRICK VENEER,2018-11-13,AVERAGE,FRAME,WOOD,Carport (Unspecified),CONVENTIONAL HOUSE,475000.0
4518.0,2434.0,2434.0,2434.0,2.0,1.0,8.0,1041.0,46463.471712990344,18657.0,268450.0,1855.28,4.0,RESIDENTIAL (GENERAL/SINGLE),RESIDENTIAL,SFR,HOT WATER,CENTRAL,MARBLECRETE,2011-12-22,VERY GOOD,FRAME,WOOD,"Garage, Attached",CONVENTIONAL HOUSE,490000.0
3866.0,3866.0,3866.0,3866.0,1.0,5.0,11.0,728.0,25645.0,64183.0,923500.0,6364.96,1.0,SINGLE FAMILY RESIDENCE,RESIDENTIAL,SFR,FORCED AIR,CENTRAL,BRICK VENEER,2022-07-07,AVERAGE,MASONRY,MASONRY,"Garage, Detached",CONVENTIONAL HOUSE,1690000.0
4249.0,2375.0,2375.0,2375.0,1.0,3.0,7.0,625.0,47886.0,78146.0,1124400.0,7665.76,2.0,SINGLE FAMILY RESIDENCE,RESIDENTIAL,SFR,FORCED AIR,CENTRAL,BRICK VENEER,2013-02-28,GOOD,FRAME,WOOD,"Garage, Attached",CONVENTIONAL HOUSE,779350.0
2092.0,3113.0,1132.0,3113.0,3.0,4.0,12.0,983.0,72886.0,113655.0,1635325.0,11134.02,5.0,SINGLE FAMILY RESIDENCE,RESIDENTIAL,SFR,FORCED AIR,CENTRAL,FIBER CEMENT SIDING (HARDI-BOARD/HARDI-PLANK),2019-09-25,GOOD,FRAME,WOOD,"Garage, Attached",CONVENTIONAL HOUSE,1201000.0
4363.0,1978.0,1978.0,1978.0,1.0,3.0,6.0,483.0,46463.471712990344,18720.0,269350.0,1861.44,2.0,RESIDENTIAL (GENERAL/SINGLE),RESIDENTIAL,SFR,HOT WATER,None,BRICK VENEER,2015-06-10,GOOD,MASONRY,MASONRY,"Garage, Attached",CONVENTIONAL HOUSE,704000.0
2306.0,2306.0,2306.0,2306.0,2.0,3.0,7.0,520.0,29822.0,49504.0,712300.0,4868.2,2.0,SINGLE FAMILY RESIDENCE,RESIDENTIAL,SFR,FLOOR/WALL FURNACE,None,MARBLECRETE,2018-08-17,AVERAGE,FRAME,WOOD,"Garage, Attached",CONVENTIONAL HOUSE,425000.0
